Ticker,Price,DCF_ps,DDM,Graham,BuffettApprox,FairValueMedian,Upside_%,Note,AsOf
AAPL,229.35,131.18,21.01,25.61,178.32,78.4,-65.82,Overvalued,2025-08-09 13:35 UTC
TSM,241.83,3367.67,56.28,182.08,1083.37,632.72,161.64,Undervalued,2025-08-09 13:35 UTC
NVDA,182.7,47.49,0.83,15.51,189.4,31.5,-82.76,Overvalued,2025-08-09 13:35 UTC
AVGO,304.97,69.37,47.84,60.42,969.69,64.89,-78.72,Overvalued,2025-08-09 13:35 UTC
GLD,313.05,,,,,,,N/A,2025-08-09 13:35 UTC
AMZN,222.69,50.24,54.66,68.03,511.8,61.35,-72.45,Overvalued,2025-08-09 13:35 UTC
TSLA,329.65,27.67,13.98,30.11,-40.49,20.82,-93.68,Overvalued,2025-08-09 13:35 UTC
TMUS,244.98,66.13,68.43,113.59,305.76,91.01,-62.85,Overvalued,2025-08-09 13:35 UTC
KO,70.34,11.83,41.39,20.53,351.09,30.96,-55.99,Overvalued,2025-08-09 13:35 UTC
2330.TW,1175.0,673.53,353.6,445.56,6487.21,559.55,-52.38,Overvalued,2025-08-09 13:35 UTC
2454.TW,1350.0,1654.43,3328.25,589.69,1640.03,1647.23,22.02,Undervalued,2025-08-09 13:35 UTC
GOOG,202.09,255.31,16.85,79.55,443.67,167.43,-17.15,Overvalued,2025-08-09 13:35 UTC
